image_path,split,label_path
images\train\0000002_00005_d_0000014.jpg,train,labels\train\0000002_00005_d_0000014.txt
images\train\0000007_04999_d_0000036.jpg,train,labels\train\0000007_04999_d_0000036.txt
images\train\0000007_05499_d_0000037.jpg,train,labels\train\0000007_05499_d_0000037.txt
images\train\0000008_00889_d_0000039.jpg,train,labels\train\0000008_00889_d_0000039.txt
images\train\0000008_01999_d_0000040.jpg,train,labels\train\0000008_01999_d_0000040.txt
images\train\0000008_02499_d_0000041.jpg,train,labels\train\0000008_02499_d_0000041.txt
images\train\0000008_02999_d_0000042.jpg,train,labels\train\0000008_02999_d_0000042.txt
images\train\0000008_03499_d_0000043.jpg,train,labels\train\0000008_03499_d_0000043.txt
images\train\0000008_03999_d_0000044.jpg,train,labels\train\0000008_03999_d_0000044.txt
images\train\0000008_04499_d_0000045.jpg,train,labels\train\0000008_04499_d_0000045.txt
images\train\0000010_05149_d_0000057.jpg,train,labels\train\0000010_05149_d_0000057.txt
images\train\0000010_05291_d_0000058.jpg,train,labels\train\0000010_05291_d_0000058.txt
images\train\0000013_00465_d_0000067.jpg,train,labels\train\0000013_00465_d_0000067.txt
images\train\0000030_00754_d_0000036.jpg,train,labels\train\0000030_00754_d_0000036.txt
images\train\0000031_00000_d_0000037.jpg,train,labels\train\0000031_00000_d_0000037.txt
images\train\0000031_02000_d_0000041.jpg,train,labels\train\0000031_02000_d_0000041.txt
images\train\0000031_03527_d_0000043.jpg,train,labels\train\0000031_03527_d_0000043.txt
images\train\0000036_00500_d_0000046.jpg,train,labels\train\0000036_00500_d_0000046.txt
images\train\0000039_00000_d_0000055.jpg,train,labels\train\0000039_00000_d_0000055.txt
images\train\0000039_05300_d_0000061.jpg,train,labels\train\0000039_05300_d_0000061.txt
images\train\0000039_05625_d_0000062.jpg,train,labels\train\0000039_05625_d_0000062.txt
images\train\0000040_01000_d_0000066.jpg,train,labels\train\0000040_01000_d_0000066.txt
images\train\0000040_01500_d_0000067.jpg,train,labels\train\0000040_01500_d_0000067.txt
images\train\0000040_02454_d_0000068.jpg,train,labels\train\0000040_02454_d_0000068.txt
images\train\0000040_03752_d_0000070.jpg,train,labels\train\0000040_03752_d_0000070.txt
images\train\0000042_01000_d_0000074.jpg,train,labels\train\0000042_01000_d_0000074.txt
images\train\0000042_02231_d_0000075.jpg,train,labels\train\0000042_02231_d_0000075.txt
images\train\0000042_02421_d_0000076.jpg,train,labels\train\0000042_02421_d_0000076.txt
images\train\0000043_00500_d_0000077.jpg,train,labels\train\0000043_00500_d_0000077.txt
images\train\0000045_00000_d_0000083.jpg,train,labels\train\0000045_00000_d_0000083.txt
images\train\0000045_00500_d_0000084.jpg,train,labels\train\0000045_00500_d_0000084.txt
images\train\0000045_01032_d_0000085.jpg,train,labels\train\0000045_01032_d_0000085.txt
images\train\0000046_00000_d_0000087.jpg,train,labels\train\0000046_00000_d_0000087.txt
images\train\0000046_00720_d_0000088.jpg,train,labels\train\0000046_00720_d_0000088.txt
images\train\0000047_01000_d_0000090.jpg,train,labels\train\0000047_01000_d_0000090.txt
images\train\0000047_02500_d_0000093.jpg,train,labels\train\0000047_02500_d_0000093.txt
images\train\0000047_03500_d_0000095.jpg,train,labels\train\0000047_03500_d_0000095.txt
images\train\0000048_01989_d_0000098.jpg,train,labels\train\0000048_01989_d_0000098.txt
images\train\0000059_01886_d_0000114.jpg,train,labels\train\0000059_01886_d_0000114.txt
images\train\0000068_00001_d_0000001.jpg,train,labels\train\0000068_00001_d_0000001.txt
images\train\0000068_00571_d_0000003.jpg,train,labels\train\0000068_00571_d_0000003.txt
images\train\0000068_01001_d_0000004.jpg,train,labels\train\0000068_01001_d_0000004.txt
images\train\0000068_01500_d_0000005.jpg,train,labels\train\0000068_01500_d_0000005.txt
images\train\0000068_02104_d_0000006.jpg,train,labels\train\0000068_02104_d_0000006.txt
images\train\0000068_02805_d_0000008.jpg,train,labels\train\0000068_02805_d_0000008.txt
images\train\0000068_03174_d_0000009.jpg,train,labels\train\0000068_03174_d_0000009.txt
images\train\0000068_03388_d_0000010.jpg,train,labels\train\0000068_03388_d_0000010.txt
images\train\0000068_03581_d_0000011.jpg,train,labels\train\0000068_03581_d_0000011.txt
images\train\0000068_03714_d_0000012.jpg,train,labels\train\0000068_03714_d_0000012.txt
images\train\0000068_03918_d_0000013.jpg,train,labels\train\0000068_03918_d_0000013.txt
images\train\0000068_04169_d_0000014.jpg,train,labels\train\0000068_04169_d_0000014.txt
images\train\0000070_05880_d_0000005.jpg,train,labels\train\0000070_05880_d_0000005.txt
images\train\0000070_06990_d_0000007.jpg,train,labels\train\0000070_06990_d_0000007.txt
images\train\0000071_00007_d_0000001.jpg,train,labels\train\0000071_00007_d_0000001.txt
images\train\0000071_02729_d_0000002.jpg,train,labels\train\0000071_02729_d_0000002.txt
images\train\0000071_03136_d_0000003.jpg,train,labels\train\0000071_03136_d_0000003.txt
images\train\0000071_03281_d_0000004.jpg,train,labels\train\0000071_03281_d_0000004.txt
images\train\0000071_03470_d_0000005.jpg,train,labels\train\0000071_03470_d_0000005.txt
images\train\0000071_03522_d_0000006.jpg,train,labels\train\0000071_03522_d_0000006.txt
images\train\0000071_05298_d_0000008.jpg,train,labels\train\0000071_05298_d_0000008.txt
images\train\0000071_06447_d_0000009.jpg,train,labels\train\0000071_06447_d_0000009.txt
images\train\0000071_06896_d_0000010.jpg,train,labels\train\0000071_06896_d_0000010.txt
images\train\0000071_07349_d_0000012.jpg,train,labels\train\0000071_07349_d_0000012.txt
images\train\0000072_00000_d_0000001.jpg,train,labels\train\0000072_00000_d_0000001.txt
images\train\0000072_00137_d_0000002.jpg,train,labels\train\0000072_00137_d_0000002.txt
images\train\0000072_03425_d_0000004.jpg,train,labels\train\0000072_03425_d_0000004.txt
images\train\0000072_04493_d_0000005.jpg,train,labels\train\0000072_04493_d_0000005.txt
images\train\0000072_05654_d_0000008.jpg,train,labels\train\0000072_05654_d_0000008.txt
images\train\0000072_05827_d_0000009.jpg,train,labels\train\0000072_05827_d_0000009.txt
images\train\0000072_07660_d_0000012.jpg,train,labels\train\0000072_07660_d_0000012.txt
images\train\0000076_00004_d_0000001.jpg,train,labels\train\0000076_00004_d_0000001.txt
images\train\0000076_00352_d_0000002.jpg,train,labels\train\0000076_00352_d_0000002.txt
images\train\0000076_00616_d_0000003.jpg,train,labels\train\0000076_00616_d_0000003.txt
images\train\0000076_01012_d_0000004.jpg,train,labels\train\0000076_01012_d_0000004.txt
images\train\0000076_01444_d_0000005.jpg,train,labels\train\0000076_01444_d_0000005.txt
images\train\0000076_01601_d_0000006.jpg,train,labels\train\0000076_01601_d_0000006.txt
images\train\0000076_01792_d_0000007.jpg,train,labels\train\0000076_01792_d_0000007.txt
images\train\0000076_01975_d_0000008.jpg,train,labels\train\0000076_01975_d_0000008.txt
images\train\0000076_03689_d_0000012.jpg,train,labels\train\0000076_03689_d_0000012.txt
images\train\0000076_04200_d_0000014.jpg,train,labels\train\0000076_04200_d_0000014.txt
images\train\0000076_04382_d_0000015.jpg,train,labels\train\0000076_04382_d_0000015.txt
images\train\0000076_04925_d_0000017.jpg,train,labels\train\0000076_04925_d_0000017.txt
images\train\0000076_04999_d_0000018.jpg,train,labels\train\0000076_04999_d_0000018.txt
images\train\0000079_00761_d_0000002.jpg,train,labels\train\0000079_00761_d_0000002.txt
images\train\0000079_01062_d_0000003.jpg,train,labels\train\0000079_01062_d_0000003.txt
images\train\0000079_01316_d_0000004.jpg,train,labels\train\0000079_01316_d_0000004.txt
images\train\0000079_01515_d_0000005.jpg,train,labels\train\0000079_01515_d_0000005.txt
images\train\0000079_01783_d_0000007.jpg,train,labels\train\0000079_01783_d_0000007.txt
images\train\0000079_02443_d_0000008.jpg,train,labels\train\0000079_02443_d_0000008.txt
images\train\0000080_00002_d_0000001.jpg,train,labels\train\0000080_00002_d_0000001.txt
images\train\0000084_00000_d_0000001.jpg,train,labels\train\0000084_00000_d_0000001.txt
images\train\0000084_00281_d_0000002.jpg,train,labels\train\0000084_00281_d_0000002.txt
images\train\0000084_01781_d_0000005.jpg,train,labels\train\0000084_01781_d_0000005.txt
images\train\0000084_01959_d_0000006.jpg,train,labels\train\0000084_01959_d_0000006.txt
images\train\0000084_02139_d_0000007.jpg,train,labels\train\0000084_02139_d_0000007.txt
images\train\0000085_00001_d_0000008.jpg,train,labels\train\0000085_00001_d_0000008.txt
