epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3367.47,2.37147,2.28615,1.03743,0.20293,0.1484,0.106,0.05314,2.2466,1.75603,0.95663,0.000256173,0.000256173,0.000256173
2,6535.81,2.2618,1.70784,0.97873,0.27807,0.16612,0.13637,0.06718,2.16633,1.64708,0.93493,0.000478681,0.000478681,0.000478681
3,9546.04,2.19908,1.62762,0.96357,0.27004,0.18178,0.15555,0.07694,2.12999,1.57935,0.92753,0.000667353,0.000667353,0.000667353
4,12048.9,2.16019,1.57743,0.95465,0.2812,0.18826,0.16474,0.08688,2.06248,1.52132,0.9232,0.000616738,0.000616738,0.000616738
5,14520.3,2.11877,1.52651,0.9452,0.29265,0.20056,0.17719,0.09167,2.04319,1.48263,0.91325,0.000565984,0.000565984,0.000565984
6,16895.3,2.01736,1.46828,0.94192,0.31049,0.19752,0.17977,0.09327,2.03454,1.47768,0.91187,0.00051523,0.00051523,0.00051523
7,19226.2,1.98703,1.42698,0.9335,0.33654,0.20858,0.19157,0.09969,2.00184,1.42023,0.90368,0.000464476,0.000464476,0.000464476
8,21509.8,1.95333,1.39011,0.92735,0.32045,0.2145,0.19565,0.10277,1.97031,1.40129,0.89776,0.000413722,0.000413722,0.000413722
9,23815.4,1.93385,1.36123,0.92303,0.35865,0.21831,0.20478,0.10827,1.95001,1.36977,0.89228,0.000362968,0.000362968,0.000362968
10,26117.8,1.91621,1.3444,0.91841,0.3505,0.22106,0.21099,0.11107,1.95279,1.35885,0.89001,0.000312214,0.000312214,0.000312214
